clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
50,1000,1,3.624204,4.072140,194.986212
50,1000,11,3.306285,3.659114,235.505267
50,1000,21,3.796149,4.273327,189.895520
50,1000,31,3.864449,4.496923,159.391933
50,1000,41,3.732170,4.466320,156.234825
50,1000,51,3.360176,3.874851,142.044993
50,1000,61,3.907922,4.922192,140.182333
50,1000,71,3.698235,4.348768,120.283937
50,1000,81,3.550595,4.127312,110.156126
50,1000,91,3.915178,4.606818,132.495709
50,1000,101,3.716408,4.496802,117.034060
50,1000,111,3.879227,4.801772,93.908618
50,1000,121,3.693304,4.612224,102.255210
50,1000,131,3.592298,4.201706,70.207479
50,1000,141,3.871277,4.646037,80.716714
50,1000,151,3.950281,4.699263,114.240985
50,1000,161,4.460379,5.336006,81.544309
50,1000,171,3.635221,4.262715,69.264406
50,1000,181,3.611367,4.445488,66.177990
50,1000,191,3.602425,4.174818,69.181111
50,1000,201,3.529172,4.042912,76.836955
